"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,SEASON_DESCRIPTION,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
States,Kentucky,Season 2024-25,668,186,226,0,0,1,0,0,0
States,Louisiana,Season 2024-25,270,8,51,11,0,0,0,0,2
States,Maine,Season 2024-25,754,351,344,7,31,0,0,0,0
States,Maryland,Season 2024-25,1603,546,518,3,1,25,0,0,0
States,Massachusetts,Season 2024-25,1254,319,586,5,58,1,0,0,0
States,Michigan,Season 2024-25,576,172,254,50,3,5,0,0,0
States,Minnesota,Season 2024-25,2514,981,212,622,1,38,0,0,1
States,Mississippi,Season 2024-25,291,9,38,54,0,0,0,0,0
States,Missouri,Season 2024-25,528,189,175,27,1,1,0,0,0
States,Montana,Season 2024-25,241,105,117,0,1,6,0,0,0
States,Nebraska,Season 2024-25,493,109,302,1,2,0,0,0,0
States,Nevada,Season 2024-25,1075,47,166,64,1,27,0,0,0
States,New Hampshire,Season 2024-25,547,37,143,111,6,12,0,0,0
States,New Jersey,Season 2024-25,246,75,38,16,0,0,0,0,0
States,New Mexico,Season 2024-25,1325,77,432,5,0,8,0,0,0
States,New York,Season 2024-25,3992,1358,921,116,26,2,0,0,0
States,North Carolina,Season 2024-25,470,143,170,15,0,1,0,0,0
States,North Dakota,Season 2024-25,224,104,35,0,0,0,0,0,0
States,Ohio,Season 2024-25,685,299,345,3,0,0,0,0,0
States,Oklahoma,Season 2024-25,39,4,15,13,0,3,0,0,0
States,Oregon,Season 2024-25,1808,391,651,10,9,0,0,0,2
States,Pennsylvania,Season 2024-25,841,224,316,34,1,19,0,0,0
States,Rhode Island,Season 2024-25,2737,315,436,156,27,3,0,0,0
States,South Carolina,Season 2024-25,69,7,10,2,0,0,0,0,0
States,South Dakota,Season 2024-25,472,158,180,13,1,0,0,0,0
States,Tennessee,Season 2024-25,697,170,318,1,0,0,0,0,0
States,Texas,Season 2024-25,1443,273,441,12,15,0,0,0,0
States,Utah,Season 2024-25,713,114,267,0,0,1,0,0,0
States,Vermont,Season 2024-25,121,60,35,0,0,7,0,0,0
States,Virginia,Season 2024-25,574,68,90,11,0,1,0,0,0
States,Washington,Season 2024-25,1188,244,279,56,45,3,0,0,14
States,West Virginia,Season 2024-25,185,60,67,3,0,0,0,0,0
States,Wisconsin,Season 2024-25,1404,429,273,27,1,19,0,0,1
States,Wyoming,Season 2024-25,159,14,6,12,0,0,0,0,0
States,American Samoa,Season 2024-25,X,X,X,X,X,X,X,X,X
States,Puerto Rico,Season 2024-25,76,14,46,1,3,0,0,0,0
States,Virgin Islands,Season 2024-25,X,X,X,X,X,X,X,X,X
States,New York City,Season 2024-25,X,X,X,X,X,X,X,X,X
